TestName,Function,SubTestName,Running,config
OPEN_SHORT,scan_resistance_slot2,scan_resistance_slot2,N,
OPEN_SHORT,scan_voltage,scan_voltage,N,
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VBUS_USBC_To_GND,Y,('channel':'101')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VBUS_RVP_To_GND,Y,('channel':'102')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VBUS_OUT_To_GND,Y,('channel':'103')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VBUS_CONN_To_GND,Y,('channel':'104')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VBATP_CON_To_GND,Y,('channel':'105')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP1V2_BUCK_OUT_To_GND,Y,('channel':'106')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_PMID_CHG_To_GND,Y,('channel':'107')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VSYS_CHG_To_GND,Y,('channel':'108')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_CHG_REGN_LDO_To_GND,Y,('channel':'109')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VBUS_HB_To_GND,Y,('channel':'110')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP1V8_SUR_TON_RIGHT_To_GND,Y,('channel':'111')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP1V8_SUR_TON_LEFT_To_GND,Y,('channel':'112')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_LP5811_BOOST_To_GND,Y,('channel':'113')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VCHG_IN_To_GND,Y,('channel':'114')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VBAT_To_GND,Y,('channel':'115')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VSYS_To_GND,Y,('channel':'116')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VAUD_To_GND,Y,('channel':'117')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP1V8_VIO_To_GND,Y,('channel':'118')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP1V8_VDIG18_To_GND,Y,('channel':'119')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP3V1_VDD31_To_GND,Y,('channel':'120')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP1V8_VA18_To_GND,Y,('channel':'201')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VPA_To_GND,Y,('channel':'202')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_DVDD_MLDO_To_GND,Y,('channel':'203')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_FSOURCE_D_To_GND,Y,('channel':'204')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VOX_CLK_To_GND,Y,('channel':'205')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VOX_DAT_To_GND,Y,('channel':'206')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PDM_CLK_FF1_FB_To_GND,Y,('channel':'207')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PDM_DAT_FF1_FB_To_GND,Y,('channel':'208')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PDM_CLK_FF2_FF3_To_GND,Y,('channel':'209')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PDM_DAT_FF2_FF3_To_GND,Y,('channel':'210')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VDD_To_GND,Y,('channel':'211')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_CC1_To_GND,Y,('channel':'212')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_CC2_To_GND,Y,('channel':'213')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VCORE_To_GND,Y,('channel':'214')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VRF_IN_To_GND,Y,('channel':'215')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VRTC_To_GND,Y,('channel':'216')
OPEN_SHORT,Read_IMPEDANCE,Measure_Impedance_PP_VSRAM_To_GND,Y,('channel':'217')
OPEN_SHORT,Read_VOLTAGE,Measure_Voltage_PP_VBUS_USBC_To_GND,Y,('channel':'101')
OPEN_SHORT,Read_VOLTAGE,Measure_Voltage_PP_VBUS_RVP_To_GND,Y,('channel':'102')
OPEN_SHORT,Read_VOLTAGE,Measure_Voltage_PP_VBUS_OUT_To_GND,Y,('channel':'103')
OPEN_SHORT,Read_VOLTAGE,Measure_Voltage_PP_VBUS_CONN_To_GND,Y,('channel':'104')
OPEN_SHORT,Read_VOLTAGE,Measure_Voltage_PP_VBAT_CON_To_GND,Y,('channel':'105')
OPEN_SHORT,Read_VOLTAGE,Measure_Voltage_PP1V2_BUCK_OUT_To_GND,Y,('channel':'106')
OPEN_SHORT,Read_VOLTAGE,Measure_Voltage_PP_PMID_CHG_To_GND,Y,('channel':'107')
OPEN_SHORT,Read_VOLTAGE,Measure_Voltage_PP_VSYS_CHG_To_GND,Y,('channel':'108')
OPEN_SHORT,Read_VOLTAGE,Measure_Voltage_PP_CHG_REGN_LDO_To_GND,Y,('channel':'109')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VBUS_HB_To_GND,Y,('channel':'110')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP1V8_SUR_TON_RIGHT_To_GND,Y,('channel':'111')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP1V8_SUR_TON_LEFT_To_GND,Y,('channel':'112')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_LP5811_BOOST_To_GND,Y,('channel':'113')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VCHG_IN_To_GND,Y,('channel':'114')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VBAT_To_GND,Y,('channel':'115')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VSYS_To_GND,Y,('channel':'116')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VAUD_To_GND,Y,('channel':'117')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP1V8_VIO_To_GND,Y,('channel':'118')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP1V8_VDIG18_To_GND,Y,('channel':'119')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP3V1_VDD31_To_GND,Y,('channel':'120')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP1V8_VA18_To_GND,Y,('channel':'201')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VPA_To_GND,N,('channel':'202')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_DVDD_MLDO_To_GND,Y,('channel':'203')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_FSOURCE_D_To_GND,N,('channel':'204')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VOX_CLK_To_GND,N,('channel':'205')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VOX_DAT_To_GND,N,('channel':'206')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PDM_CLK_FF1_FB_To_GND,N,('channel':'207')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PDM_DAT_FF1_FB_To_GND,N,('channel':'208')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PDM_CLK_FF2_FF3_To_GND,N,('channel':'209')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PDM_DAT_FF2_FF3_To_GND,N,('channel':'210')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VDD_To_GND,Y,('channel':'211')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_CC1_To_GND,N,('channel':'212')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_CC2_To_GND,N,('channel':'213')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VCORE_To_GND,N,('channel':'214')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VRF_IN_To_GND,N,('channel':'215')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VRTC_To_GND,Y,('channel':'216')
VOLTAGETEST,Read_VOLTAGE,Measure_Voltage_PP_VSRAM_To_GND,Y,('channel':'217')

